SIFARNIK,AOP,column_name,metric_label_hr,metric_label_en,metric_label_de,VRSTA,exists_in_db_afs
61,73,b073,Vlastite dionice i udjeli (odbitna stavka),Own shares and stock (deductible item),Eigene Aktien und Anteile (Abzugsposten),00,1
61,74,b074,Statutarne rezerve,Statutory reserves,Satzungsmässige Rücklagen,00,1
61,75,b075,Ostale rezerve,Other reserves,Sonstige Rücklagen,00,1
61,76,b076,REVALORIZACIJSKE REZERVE,REVALUATION RESERVES,AUFWERTUNGSRÜCKLAGEN,00,1
61,77,b077,REZERVE FER VRIJEDNOSTI (AOP 078 do 080),FAIR VALUE RESERVES (EDP 078 to 080),RÜCKSTELLUNGEN ZUR FAIR VALUE (EDV 078 bis 080),00,1
61,78,b078,Fer vrijednost financijske imovine raspoložive za prodaju,Fair value of financial assets available for sale,Fair Value verkäuflicher Finanzanlagen,00,1
61,79,b079,Učinkoviti dio zaštite novčanih tokova,Effective portion of the cash flow hedge,Wirksamer Teil des Cashflow - Schutzes,00,1
61,80,b080,Učinkoviti dio zaštite neto ulaganja u inozemstvu,Effective portion of a hedge of a net investment in a foreign operation,Wirksamer Teil des Schutzes von Netto - Auslandsinvestitionen,00,1
61,81,b081,ZADRŽANA DOBIT ILI PRENESENI GUBITAK (AOP 082-083),PROFIT RETAINED OR LOSS CARRIED FORWARD (EDV082 - 083),EINBEHALTENER GEWINN ODER VERLUSTVORTRAG (EDP 082 - 083),00,1
61,82,b082,Zadržana dobit,Retained profit,Ergebnisvortrag,00,1
61,83,b083,Preneseni gubitak,Accumulated loss brougth forward,Verlustübertrag,00,1
61,84,b084,DOBIT ILI GUBITAK POSLOVNE GODINE (AOP 085-086),PROFIT OR LOSS OF THE BUSINESS YEAR (EDV 085 - 086),GEWINN ODER VERLUST DES GESHÄFTSJAHRES (EDP085 - 086),00,1
61,85,b085,Dobit poslovne godine,Business year profit,GEWINN DES GESCHÄFTSJAHRES,00,1
61,86,b086,Gubitak poslovne godine,Business year loss,VERLUST DES GESCHÄFTSJAHRES,00,1
61,87,b087,MANJINSKI (NEKONTROLIRAJUĆI) INTERES,MINORITY INTEREST,ANTEILE ANDERER GESELLSCHAFTER,00,1
61,88,b088,REZERVIRANJA (AOP 089 do 094),PROVISIONS (EDV 089 to 094),RÜCKSTELLUNGEN (EDP 089 bis 094),00,1
61,89,b089,"Rezerviranja za mirovine, otpremnine i slične obveze","Provisions for pensions, severance pays and similar liabilities","Rückstellungen für Pensionen, Abfindungen und ähnliche Verpflichtungen",00,1
61,90,b090,Rezerviranja za porezne obveze,Provisions for tax liabilities,Rückstellungen für Steuerverbindlichkeiten,00,1
61,91,b091,Rezerviranja za započete sudske sporove,Provisions for commenced litigation,Rückstellungen für anhängige Gerichtsverfahren,00,1
61,92,b092,Rezerviranja za troškove obnavljanja prirodnih bogatstava,Provisions for costs of restoration of natural resources,Rückstellungen für Kosten der Erneuerung von Naturressourcen,00,1
61,93,b093,Rezerviranja za troškove u jamstvenim rokovima,Provisions for costs within warranty periods,Rückstellungen für Kosten innerhalb der Gewährleistungsfristen,00,1
61,94,b094,Druga rezerviranja,Other provisions,Sonstige Rückstellungen,00,1
61,95,b095,DUGOROČNE OBVEZE (AOP 096 do 106),NON - CURRENT LIABILITIES (EDV 096 to 106),LANGFRISTIGE VERBINDLICHKEITEN (EDP 096 bis 106),00,1
61,96,b096,Obveze prema poduzetnicima unutar grupe,Liabilities towards entities within a group,Verbindlichkeiten gegenüber verbundenen Unternehmen,00,1
61,97,b097,"Obveze za zajmove, depozite i slično poduzetnika unutar grupe","Loan, deposit etc. liabilities of entities within a group","Verbindlichkeiten für Darlehen, Einlagen und dgl. verbundener Unternehmen",00,1
